id,title,image_reference,summary,author,marki_category,preparation_time,cooking_time,total_time,difficulty,reglament,marki_instruction,number_of_servings,tags,slug
1,Audi,1,Замена ремня ГРМ является обязательным пунктом соответствующего технического обслуживания автомобиля.,Рудольф Дизель,3,40,30,70,medium,"For the pastry:,280g plain flour,140g butter,Cold water,For the filling:,1 onion,2 garlic cloves,Half a courgette,450ml soya milk,500g grated parmesan,2 eggs,200g sun dried tomatoes,100g feta",zamena-remnya-grm.html,8,"2,5",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_remnya_grm
2,BMW,2,"Замена цепи ГРМ, в отличие от ремня ГРМ редко регламентируется производителем по пробегу.",Рудольф Дизель,4,20,20,40,medium,"6 tbsp sunflower oil, 80g vegan dark chocolate, 170g plain flour, 80g coconut flour, 1 tsp baking powder, 9 tsp cocoa powder, 100g caster sugar, 3 tbsp of maple syrup, 1/4 tsp sea salt, 1 tsp vanilla extract, 230ml unsweetened organic soya milk, 100g pecan nuts, 80g walnut halves",zamena-zepi-grm.html,12,"2,5","avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/zamena_zepi_grm
"
3,Ремонт ходовой,3,"Ходовая часть автомобиля постоянно испытывает весьма значительные нагрузки , именно поэтому она наиболее подвержена износу.",Рудольф Дизель,3,5,20,25,easy,"400g wholewheat pasta, 1 onion, 2 garlic cloves, 1 pack vegetarian sausages, 400g chopped tomatoes, 50g sliced sun dried tomatoes, 1 pinch sugar, 3 tbsp red pesto, 50g cheddar cheese, Basil or mixed herbs, 100g mozzarella",remont-hodovoi-avtomobilya.html,4,"2,4","avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_hodovoi_avtomobilya
"
4,Ремонт двигателя,4,Ремонт бензиновых и дизельных двигателей автомобилей с частичной или полной разборкой.,Рудольф Дизель,5,10,20,30,easy,"3 bunches watercress,3 potatoes,3 onions,2 leeks,800ml stock,5 tbsp crème fraîche",remont-dvigatelya-avtomobilya.html,4,"2,4","avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_dvigatelya_avtomobilya
"
5,Ремонт системы кондиционирования,5,"Услуги по заправке, техническому обслуживанию, диагностике и ремонту систем кондиционирования автомобилей в Харькове.",Рудольф Дизель,2,20,20,40,easy,"225g butter or margarine,225g caster sugar,225g self-raising flour,4 eggs,1 tsp baking powder,3 tbsp of jam for the filling,Icing sugar to dust the top,Cream to serve",remont-oblujivanie-sistemy-kondicionirovaniya-vozduha-avtomobily.html,10,"2,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_oblujivanie_sistemy_kondicionirovaniya_vozduha_avtomobilya
6,Отопитель Webasto,6,"Продажа, установка и ремонт автономных отопителей (предпусковых подогревателей) Webasto(Вебасто) и Eberspaecher (Эбершпехер).",Рудольф Дизель,3,15,15,30,,"400g gluten free flour, 125ml warm water, 125ml milk, 1 sachet dried yeast, 2 tsp sugar, 1 tsp salt, 2 tbsp olive oil, 4 tbsp tomato puree, 1 garlic clove, Fresh basil, 200g mozzarella, 100g rocket, 5 slices Parma ham",otopitel-webasto-eberspaecher-v-harkove.html,4,2,avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/otopitel_webasto_eberspaecher_v_harkove
7,Ремонт электрики,7,"Предоставляем все виды услуг по техническому обслуживанию, диагностике и ремонту электрооборудования автомобилей в Харькове.",Рудольф Дизель,3,10,15,25,,"400g coconut milk, 400g chicken or tofu, 1 tbsp Thai green curry paste, 1 garlic clove, 2 tsp fish sauce, 400g mushrooms, 200g green beans, Fresh coriander leaves, Jasmine rice",remont_elektriki_avtomobilya.html,4,"2,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_elektriki_avtomobilya
8,Ремонт тормозной системы,8,Диагностика и ремонт тормозной системы необходимы при обнаружении любых неисправностей в работе.,Рудольф Дизель,2,10,20,30,,"1l milk, 200g sugar, 6 egg yolks, 30g cornstarch, 1 cinnamon stick, 1 piece lemon peel",remont-tormoznoi-sistemi-avtomobilya.html,8,"2,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_tormoznoi_sistemi_avtomobilya
9,Ремонт топливных систем,9,"Услуги по техническому обслуживанию, диагностике и ремонту топливных систем.",Рудольф Дизель,1,10,50,60,easy,"2 red onions, 1 lemon, 2 limes, 250ml malt vinegar, 7 garlic cloves, 1 green bell pepper, 1 red bell pepper, 800g cherry tomatoes, 30 mixed chilies, Olive oil, 1 tbsp ground black pepper, 1 tbsp brown sugar",remont-toplivnyh-sistem-avtomobilya.html,60,"2,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_toplivnyh_sistem_avtomobilya
10,Ремонт МКПП,10,"Услуги по техническому обслуживанию, диагностике и ремонту механических коробок передач.",Рудольф Дизель,3,40,30,70,medium,"For the pastry:,280g plain flour,140g butter,Cold water,For the filling:,1 onion,2 garlic cloves,Half a courgette,450ml soya milk,500g grated parmesan,2 eggs,200g sun dried tomatoes,100g feta",remont-mkpp-avtomobilya.html,8,"2,4",avtoservis_harkov/vidy_remontnyh_rabot_avtomobilya/remont_mkpp_avtomobilya
